battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
41,True,Ganymede,Vanessa,Chiwu,Leo,Cheongpung,None,Leo,Vanessa,Cheongpung,Okeanos,Seara,Fran,Ethna,Woonsa,Okeanos,None,Okeanos,Woonsa,2021-01-07 05:28:49,°빛대,공략불가
42,False,Molly,XingZhe,Tetra,Helena,Akroma,None,Helena,XingZhe,Akroma,Okeanos,Seara,Fran,Yeonhong,Ethna,Okeanos,None,Seara,Ethna,2021-01-07 05:22:56,°빛대,Akavali
43,False,Ganymede,Vanessa,Cheongpung,Platy,Okeanos,None,Platy,Vanessa,Okeanos,Seara,Daphnis,Eshir,Chris,Wolyung,Seara,None,Seara,Wolyung,2021-01-07 05:16:41,°빛대,Akavali
44,True,Ganymede,Yeonhong,Cheongpung,Seara,Okeanos,Okeanos,None,Seara,Okeanos,Molly,Juno,MeiHouWang,Antares,Lulu,None,Antares,Juno,Lulu,2021-01-07 05:14:15,°빛대,Ꮤ﹏椛落✿知秋
45,True,Okeanos,Ganymede,Yeonhong,Cheongpung,Vanessa,Okeanos,None,Yeonhong,Vanessa,Giana,Han,Seara,Rica,Fran,None,Rica,Seara,Fran,2021-01-07 05:08:25,°빛대,小幸运✨
46,False,Okeanos,Ganymede,Seara,Cheongpung,Vanessa,Okeanos,None,Seara,Vanessa,Molly,Nephthys,Han,Velajuel,Woonsa,None,Velajuel,Nephthys,Woonsa,2021-01-07 05:04:54,°빛대,PRO༊
47,True,Okeanos,Ganymede,Seara,Vanessa,Cheongpung,Okeanos,None,Vanessa,Cheongpung,Molly,Nephthys,Han,Artamiel,Woonsa,None,Artamiel,Nephthys,Woonsa,2021-01-07 05:00:14,°빛대,PRO༊
48,True,XingZhe,Molly,Akroma,Tetra,Amduat,None,Amduat,Akroma,Amduat,Okeanos,Vigor,Verdehile,Miho,Loren,Okeanos,None,Okeanos,Loren,2021-01-07 04:55:13,°빛대,Cezinha251
49,True,XingZhe,Molly,Tetra,Juno,Leo,None,Leo,XingZhe,Leo,Giana,Nephthys,Savannah,Barbara,Masha,Giana,None,Nephthys,Masha,2021-01-07 04:50:16,°빛대,我怎么这么好看
50,False,Okeanos,Ganymede,Yeonhong,Tesarion,Cheongpung,Okeanos,None,Ganymede,Cheongpung,XingZhe,Alexandra,Juno,Rica,Nephthys,None,Rica,XingZhe,Nephthys,2021-01-08 04:05:45,°빛대,.Namaste.
51,True,Okeanos,Molly,Vanessa,Rica,Leo,Okeanos,None,Vanessa,Leo,Bastet,Cheongpung,Poseidon,Masha,Gemini,None,Gemini,Poseidon,Gemini,2021-01-08 04:00:42,°빛대,KĪRĪN_
52,True,Okeanos,Molly,Leo,Amduat,Vanessa,Okeanos,None,Amduat,Vanessa,Shimitae,Bastet,Poseidon,Woonsa,Bellenus,None,Bellenus,Poseidon,Bellenus,2021-01-08 03:56:25,°빛대,KĪRĪN_
53,False,XingZhe,Molly,Akroma,Vanessa,Rica,None,Rica,Vanessa,Rica,Okeanos,Seara,Laika,Miho,Fran,Okeanos,None,Seara,Fran,2021-01-08 03:54:11,°빛대,Video~
54,False,Ganymede,Tesarion,Cheongpung,Chiwu,Okeanos,Okeanos,None,Chiwu,Okeanos,Artamiel,Woosa,Vigor,MeiHouWang,Ragdoll,None,MeiHouWang,MeiHouWang,Ragdoll,2021-01-08 03:49:43,°빛대,ლ((ΦωΦ))ლ
55,True,Ganymede,Okeanos,Cheongpung,Yeonhong,Tesarion,None,Tesarion,Yeonhong,Tesarion,Alexandra,Juno,Racuni,XingZhe,Molly,Molly,None,XingZhe,Molly,2021-01-08 03:43:37,°빛대,.Namaste.
56,True,Ganymede,Cheongpung,Vanessa,Molly,Okeanos,Okeanos,None,Vanessa,Okeanos,TianLang,Chiwu,Ethna,Antares,Fran,None,Antares,Chiwu,Fran,2021-01-08 03:39:26,°빛대,Enlist
57,False,Okeanos,Seara,Ganymede,Yeonhong,Cheongpung,Okeanos,None,Seara,Cheongpung,Vanessa,Triana,Rakan,Akroma,Anavel,None,Akroma,Vanessa,Anavel,2021-01-08 03:36:40,°빛대,Łivert
58,True,Okeanos,Ganymede,Seara,Cheongpung,Yeonhong,Okeanos,None,Seara,Yeonhong,Vanessa,Triana,Anavel,Rakan,Akroma,None,Akroma,Vanessa,Akroma,2021-01-08 03:33:13,°빛대,Łivert
